article_id,Accession Number (UT),Database,Editions,1st Document Type,2nd Document Type,3rd Document Type,All Document Types (comma-separated),Primary Language,Number of Cited References,Times Cited,Citing items with citation context,Background,Support,Differ,Discuss,Basis,Keywords,Keywords Plus,Bib Type,Page count,Bib ID,1st Subject Sub-Heading,2nd Subject Sub-Heading,1st Subject Category (traditional),2nd Subject Category (traditional),Subject Category (extended),1st Category Heading,2nd Category Heading,Abstract,Cover date,Vol,Published Year,Sort date,Published month,Published Type,Journal OA Gold,ISSN,EISSN,DOI,XREF DOI,Pubmed ID,ISBN,EISBN,Parent Book DOI,Source title,Title,Source Abbreviation,Abbreviation ISO,Abbreviation 11,Abbreviation 29,Publisher SeqNo,Publisher Role,Publisher Full Name,Publisher Address No,Publisher Display name,journal_name
62676,WOS:000712784300001,WOS,WOS.SSCI,Article,NA,NA,Article,English,88,2,2,2,0,0,0,0,"Patterns of change,symptom change trajectories,persistent somatic symptoms,patient-focused research,growth mixture modeling,follow-up,randomized controlled trial","MEDICALLY UNEXPLAINED SYMPTOMS,COGNITIVE-BEHAVIOR THERAPY,CHRONIC-FATIGUE-SYNDROME,SUDDEN GAINS,CHRONIC PAIN,PSYCHOTHERAPY,DEPRESSION,ANXIETY,FEEDBACK,PREVALENCE",Journal,139,32 (5): 624-639 JUL 4 2022,NA,NA,"Psychology, Clinical",NA,Psychology,Social Sciences,NA,"Objective: This study investigated symptom change trajectory for patients with persistent somatic symptoms (PSS) during psychotherapy and the association of these patterns with pre-treatment characteristics and long-term outcome.
Methods: Growth mixture modeling was used to identify trajectory curves in a sample of N = 210 outpatients diagnosed with PSS and treated either with conventional cognitive behavioral therapy (CBT) or CBT enriched with emotion regulation training (ENCERT).
Results: We identified three subgroups of patients with similar symptom change patterns over the course of treatment (a ""no change,"" ""strong response,"" and ""slow change"" subgroup). Higher initial anxiety symptoms were significantly associated with the no change and strong response subgroups; symptom-related disability in daily routine with no changes. Patients with a strong response had the highest proportion of reliable improvement at termination and at six-month-follow-up.
Conclusion: Our results indicate that, instead of one common change pattern, patients with PSS respond differently to treatment. Due to the high association of symptom curves with long-term outcome, the identification and prediction of an individual's trajectory could provide important information for clinicians to identify non-responding patients that are at risk for failure. Selecting personalized treatment interventions could increase the effectiveness of psychotherapy.",JUL 4 2022,32,2022,2021-10-29,JUL 4,Journal,N,1050-3307,1468-4381,10.1080/10503307.2021.1993376,NA,MEDLINE:34711141,NA,NA,NA,PSYCHOTHERAPY RESEARCH,Symptom change trajectories in patients with persistent somatic symptoms and their association to long-term treatment outcome,PSYCHOTHER RES,Psychother. Res.,PSYCHOTH RE,PSYCHOTHER RES,1,publisher,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",PSYCHOTHERAPY RESEARCH
55643,WOS:000743082100001,WOS,WOS.SSCI,Article,NA,NA,Article,English,46,1,1,0,0,0,1,0,"affective distress,burnout,mediation,school counselor,wellness","QUALITY-OF-LIFE,MISSING DATA,MODEL,SAMPLE,POWER",Journal,118,100 (3): 308-318 JUL 2022,NA,NA,"Psychology, Applied",NA,Psychology,Social Sciences,NA,"This cross-sectional study used structural equation modeling to examine the directional relationship between school counselors' (N = 339) wellness and burnout and whether the latent variables were indirectly mediated by affective distress, while controlling for years of experience, student-to-school counselor ratios, percentage of time spent in counseling duties, and engagement in supervision monthly. Results found that engagement in supervision monthly was positively related to wellness and negatively related to burnout. Percentage of time spent in counseling duties was negative related to affective distress. Based upon the model fit, we found a statistically significant direct effect of wellness on burnout, while controlling for the indirect effect of affective distress (beta = -0.32, p < 0.001). Additionally, wellness was significantly and negatively related to burnout (-0.32) and affective distress (-0.51). Affective distress was significantly and positively related to burnout (0.63). We discuss implications for the school counseling profession.",JUL 2022,100,2022,2022-01-17,JUL,Journal,N,0748-9633,1556-6676,10.1002/jcad.12425,NA,NA,NA,NA,NA,JOURNAL OF COUNSELING AND DEVELOPMENT,"Correlates of wellness, affective distress, and burnout among school counselors",J COUNS DEV,J. Couns. Dev.,J COUNS DEV,J COUNS DEVELOP,1,publisher,WILEY,1,WILEY,JOURNAL OF COUNSELING AND DEVELOPMENT
75660,WOS:000493362200001,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,41,11,5,3,0,0,2,1,"Video gaming,Internet gaming disorder,Gaming addiction,Self-presence,Gaming avatar","GAME TRANSFER PHENOMENA,OF-FIT INDEXES,MAXIMUM-LIKELIHOOD,INTERNET,IDENTIFICATION,ADDICTION,SCALE,MODEL",Journal,655,20 (1): 183-195 FEB 2022,Life Sciences & Biomedicine,NA,"Psychology, Clinical",Substance Abuse,"Psychology,Substance Abuse,Psychiatry",Social Sciences,Science & Technology,"Internet gaming disorder (IGD) is a rapidly expanding psychopathological manifestation necessitating further research and clinical attention. Although recent research has investigated relationships between user-avatar and excessive gaming, little is known about the interplay between IGD and avatar self-presence and its dimensions (i.e., the physical, emotional, and identity bond developed between the user and the in-game character). The aim of the present pilot study was twofold: (i) to investigate the associations between physical, emotional, and identity aspects of self-presence associate and IGD severity, and (ii) to assess IGD variations longitudinally in relation to the three dimensions of self-presence (i.e., proto-self-presence, core-self-presence, and extended-self-presence). The sample comprised 125 young adults aged between 18 and 29 years who underwent either (i) three offline measurements (1 month apart, over 3 months) or (ii) a cross-sectional online measurement. Regression and latent growth analysis indicated that the initial intensity of the physical, emotional, and identity self-presence aspects associated with IGD severity, but not to its longitudinal change. Overall, young adult gamers may exhibit higher IGD risk and severity when the experience of physical, emotional, and identity bonding with their in-game character is pronounced. The implications surrounding treatment and preventative policy recommendations are further discussed.",FEB 2022,20,2022,2019-10-30,FEB,Journal,N,1557-1874,1557-1882,10.1007/s11469-019-00136-8,NA,NA,NA,NA,NA,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION,"The Physical, Emotional, and Identity User-Avatar Association with Disordered Gaming: A Pilot Study",INT J MENT HEALTH AD,Int. J. Mental Health Addict.,INT J MEN H,INT J MENT HEALTH ADDICT,1,publisher,SPRINGER,1,SPRINGER,INTERNATIONAL JOURNAL OF MENTAL HEALTH AND ADDICTION
47316,WOS:000769286800001,WOS,WOS.SSCI,Article,NA,NA,Article,English,59,0,NA,NA,NA,NA,NA,NA,"bullying,victimization,perpetration,bully-victim,gifted students","QUALITY-OF-LIFE,STRESS,HEALTH,IDENTIFICATION,DEPRESSION,CHILDHOOD,IMPACT,YOUTH",Journal,131,43 (1): 90-109 Sp. Iss. SI JAN 2023,NA,NA,Family Studies,"Psychology, Developmental","Family Studies,Psychology",Social Sciences,NA,"The objective of this study is to compare the prevalence of bullying victimization and perpetration between a sample of gifted students and a sample of nongifted students, and their relationship in both groups with depression, stress, anxiety, and health-related quality of life (HRQoL). A cross-sectional design was performed with two comparison groups: 449 Spanish adolescents identified as gifted (M-age = 11.72, SD = 1.89) and 950 nongifted Spanish students (M-age = 12.72,SD=0.79). Results reveal that 41.1%, 1.1%, and 9.5% of the gifted sample were pure-victims, pure-bullies, and bully-victims, respectively, compared to 21.8%, 2.4%, and 5.8% of the nongifted students. It is observed that gifted students are more likely to be victims (OR = 3.20[2.40, 4.28]). Gifted pure-victims have significantly higher stress scores than nongifted pure-victims (p < .001). In general, pure-victims and bully-victims of gifted and nongifted students both have higher stress, anxiety, and depression scores and lower HRQoL scores than other profiles.",JAN 2023,43,2023,2022-03-08,JAN,Journal,N,0272-4316,1552-5449,10.1177/02724316211058065,NA,NA,NA,NA,NA,JOURNAL OF EARLY ADOLESCENCE,Are Gifted Students More Victimized than Nongifted Students? A Comparison in Prevalence and Relation to Psychological Variables in Early Adolescence,J EARLY ADOLESCENCE,J. Early Adolesc.,J EARLY ADO,J EARLY ADOLESCENCE,1,publisher,SAGE PUBLICATIONS INC,1,SAGE PUBLICATIONS INC,JOURNAL OF EARLY ADOLESCENCE
48249,WOS:000766890300001,WOS,WOS.ESCI,Article,NA,NA,Article,English,3,2,1,1,0,0,1,0,"need for relatedness,critical thinking,belief personification,violence",NA,Journal,17,9 (1): - DEC 31 2022,NA,NA,"Psychology, Multidisciplinary",NA,Psychology,Social Sciences,NA,"Although violent extremist attitudes promote extremist violence, little is known about the process through which these attitudes develop. Therefore, the present study attempted to advance knowledge of their development by exploring the relationships between three basic psychological needs (competence, relatedness, and autonomy), four dimensions of actively open-minded thinking (dogmatism, fact resistance, liberalism, and belief personification), and violent extremist attitudes. This study also aimed at examining whether the dimensions of actively open-minded thinking could account for the relationships between psychological needs and violent extremist attitudes. Five hundred nine adult volunteers (254 females and 255 males, M-age = 33.20, SDage = 12.31) answered online questionnaires that assessed psychological needs, actively open-minded thinking, and violent extremist attitudes. I built and analyzed two structural equation models, and the results revealed that relatedness satisfaction negatively predicted violent extremist attitudes through experiencing lower levels of belief personification (i.e., dichotomized mode of thinking opposing ""me/us"" to ""them"") (Model), while relatedness frustration positively predicted violent extremist attitudes through experiencing enhanced sense of belief personification (Model 2). Finally, this study highlighted the importance of satisfying people's need for relatedness and helping them counteract the development of binary attitudes toward others, as preventive strategies against radicalization to violence.",DEC 31 2022,9,2022,2022-12-31,DEC 31,Journal,Y,2331-1908,NA,10.1080/23311908.2022.2047300,NA,NA,NA,NA,NA,COGENT PSYCHOLOGY,Relationships between basic psychological needs and violent extremist Attitudes: The mediating role of actively open-minded thinking,COGENT PSYCHOL,Cogent Psychol.,COGEN PSYCH,COGENT PSYCHOL,1,publisher,TAYLOR & FRANCIS AS,1,TAYLOR & FRANCIS AS,COGENT PSYCHOLOGY
17298,WOS:000861605600001,WOS,WOS.SSCI,Article,NA,NA,Article,English,81,0,NA,NA,NA,NA,NA,NA,"family environment,peer interaction quality,educational expectation gap,academic achievement,adolescent","EARLY ELEMENTARY-SCHOOL,PARENTAL EXPECTATIONS,CHILD DISCREPANCIES,FRIENDSHIP QUALITY,AUTONOMY SUPPORT,MENTAL-HEALTH,INVOLVEMENT,MIDDLE,ADJUSTMENT,SELF",Journal,17,13: - SEP 12 2022,NA,NA,"Psychology, Multidisciplinary",NA,Psychology,Social Sciences,NA,"The current study uses a two-wave longitudinal survey to explores the influence mechanism of the family environment on adolescents' academic achievement. The family environment is measured by parents and children's reports, including family atmosphere, parent-child interaction, and family rules, to reveal the mediating effect of adolescents' positive or negative peers between the family environment and academic achievement, and whether the gap between self- and parental educational expectation plays a moderating effect. This study uses the data of the China Education Panel Study (CEPS); the survey samples include 9,449 eighth-grade students (M-age = 13.55 years, SD = 0.70), establishing a multilevel moderated mediating effect model. The results showed (1) the family environment and peer interaction quality can positively predict adolescents' academic achievement. (2) Using the KHB test, peer interaction quality plays a partial mediating role in the process of family environment positively affecting academic achievement, and the mediating ratio is 27.5%. (3) The educational expectation gap moderates the effect of the family environment on academic achievement and also on peer interaction quality. Therefore, from the perspective of environment and important others, to correctly grasp the academic achievement of junior high school students in the process of socialization, it is necessary to recognize that the family environment, peer interaction quality, and educational expectation gap play an important role.",SEP 12 2022,13,2022,2022-09-12,SEP 12,Journal,Y,1664-1078,NA,10.3389/fpsyg.2022.911959,NA,MEDLINE:36172245,NA,NA,NA,FRONTIERS IN PSYCHOLOGY,Impacts of family environment on adolescents' academic achievement: The role of peer interaction quality and educational expectation gap,FRONT PSYCHOL,Front. Psychol.,FRONT PSYCH,FRONT PSYCHOL,1,publisher,FRONTIERS MEDIA SA,1,FRONTIERS MEDIA SA,FRONTIERS IN PSYCHOLOGY
62868,WOS:000711803300001,WOS,WOS.SSCI,Article,NA,NA,Article,English,59,1,1,0,0,0,1,0,"judicial supervision,judicial monitoring,problem-solving courts,recidivism,therapeutic jurisprudence","DRUG COURT,OUTCOMES",Journal,158,29 (5): 651-678 SEP 3 2022,Life Sciences & Biomedicine,NA,Criminology & Penology,Law,"Criminology & Penology,Government & Law,Psychiatry,Psychology",Social Sciences,Science & Technology,"This meta-analysis compares recidivism reduction in problem-solving courts employing judicial supervision in Australia and New Zealand to traditional processes. Using a four-phased search strategy, 16 studies totalling a treatment sample of 6588 individuals and 32,147 comparison participants were identified from 7161 unique records. Meta-analyses indicate that the problem-solving courts significantly reduced both the odds and incidences of recidivism compared with standard justice processes but that the heterogeneity observed within the latter analysis plus reliance on weak methodologies limits the strength of these conclusions. Studies at risk of bias may have had an undue influence on the odds of recidivism analysis. Additionally, the benefits of treatment on the incidence of recidivism are closely linked to the overlap of measurement and treatment periods. The findings suggest a positive impact from judicial supervision but further rigorous research is needed that closely matches experimental samples, strictly measures participants post-intervention and meticulously reports pertinent information.",SEP 3 2022,29,2022,2021-10-27,SEP 3,Journal,N,1321-8719,1934-1687,10.1080/13218719.2021.1956385,NA,MEDLINE:36148389,NA,NA,NA,PSYCHIATRY PSYCHOLOGY AND LAW,The effects of judicial supervision on recidivism of offenders in Australia and New Zealand: a systematic review and meta-analysis,PSYCHIAT PSYCHOL LAW,Psychiatr. Psychol. Law,PSYCH PSY L,PSYCHIATRY PSYCHOL LAW,1,publisher,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",PSYCHIATRY PSYCHOLOGY AND LAW
74531,WOS:000549934500001,WOS,WOS.SSCI,Article,NA,NA,Article,English,62,1,NA,NA,NA,NA,NA,NA,"grounded theory,career counseling,career counselors,first-generation college students,self-disclosure","EXPERIENCES,CLIENT,WOMEN",Journal,239,49 (3): 491-504 JUN 2022,NA,NA,"Psychology, Applied",NA,Psychology,Social Sciences,NA,"Financial security is cited among reasons why first-generation college students (FGCS) pursue higher education, yet the literature advocating the pursuit of a bachelor's degree for its perceived value in the employment marketplace fails to include the need for career exploration and planning during the college years. The purpose of this grounded theory study was to examine how career counselors who had been the first in their families to go to college use their personal experience to support current FGCS. The findings of the study suggest that career counselors who share personal, relevant stories from their own college experiences can counter students' feelings of isolation and confusion regarding career exploration and planning. Further, findings suggest that career counselors who actively partner with academic and student life colleagues on their campuses help FGCS students form a network of contacts, subsequently creating equitable social capital opportunities for all students.",JUN 2022,49,2022,2020-07-17,JUN,Journal,N,0894-8453,1556-0856,10.1177/0894845320941251,NA,NA,NA,NA,NA,JOURNAL OF CAREER DEVELOPMENT,Career Counselors Self-Disclosing to First-Generation College Students: A Grounded Theory Study,J CAREER DEV,J. Career Dev.,J CAREER D,J CAREER DEVELOPMENT,1,publisher,SAGE PUBLICATIONS INC,1,SAGE PUBLICATIONS INC,JOURNAL OF CAREER DEVELOPMENT
9481,WOS:000883845400001,WOS,WOS.SSCI,Article,NA,NA,Article,English,44,0,NA,NA,NA,NA,NA,NA,NA,"10-YEAR COURSE,FEATURES,PSYCHOPATHOLOGY,DEPRESSION,PREDICTION,COMMUNITY,ABUSE",Journal,85,17 (2): 165-175 MAY 2023,Life Sciences & Biomedicine,NA,Psychiatry,"Psychology, Social","Psychiatry,Psychology",Science & Technology,Social Sciences,"Although uncommon, borderline personality disorder (BPD) may manifest for the first time later in life. A retrospective clinical file audit was used to identify the clinical manifestation of BPD for the first time at or above the age of 30, and to examine whether particular clinical and psychosocial factors may be associated with a later-in-life manifestation of BPD. Twenty-three cases of late manifestation BPD were identified. People with late manifestation of BPD had similar risk factors and vulnerabilities, including childhood trauma, to the broader BPD population. They were distinguished by having higher levels of education, employment, and long-term intimate relationships. Interpersonal problems, loss of employment and reminders of past sexual trauma were key precipitating factors. The findings underscore the legitimacy of a late-manifestation diagnosis of BPD by demonstrating that BPD does not present exclusively during adolescence and early adulthood. BPD may present for the first time in later life in response to loss of protective factors or triggering of past trauma. This understanding may reduce misdiagnosis or delayed diagnosis, prescription of inappropriate treatments or delays in receiving BPD-appropriate treatments.",MAY 2023,17,2023,2022-11-15,MAY,Journal,N,1932-8621,1932-863X,10.1002/pmh.1571,NA,MEDLINE:36379721,NA,NA,NA,PERSONALITY AND MENTAL HEALTH,Late manifestation of borderline personality disorder: Characterization of an under-recognized phenomenon,PERSONAL MENT HEALTH,Personal. Ment. Health,PERS ME HEA,PERSONAL MENT HEALTH,1,publisher,WILEY,1,WILEY,PERSONALITY AND MENTAL HEALTH
63307,WOS:000708130200008,WOS,"WOS.SCI,WOS.SSCI",Article,NA,NA,Article,English,70,6,NA,NA,NA,NA,NA,NA,"Office,Spatial behaviour,Physical inactivity,Home range,Activity space,Sensors","LONG-TERM ACCESS,PHYSICAL-ACTIVITY,STAIR USE,ENVIRONMENTS,PATTERNS,BEHAVIOR,HEALTH,TIME",Journal,120,98: - JAN 2022,Technology,NA,"Engineering, Industrial",Ergonomics,"Engineering,Psychology",Science & Technology,Social Sciences,"A key to the development of more effective interventions to promote movement and reduce physical inactivity in office workplaces may be to measure and locate individual's spatial movement. Using an activity space estimation method, high resolution location data collected from 15 office workers over 12 days were used to estimate and analyse the location and extent of their daily spatial movement whilst in an office work-based setting. The results indicated that the method, kernel density estimation, combined with location data offers significant opportunities to not only measure and compare spatial movement behaviours but also simultaneously identify the locations where the behaviours occur. Combined with other data streams, this method will allow researchers to further investigate the influence of different environmental characteristics on these behaviours, potentially leading the development of more effective, longer lasting interventions to promote movement and reduce stationary behaviour, ultimately improving the health of office workers.",JAN 2022,98,2022,2021-10-07,JAN,Journal,N,0003-6870,1872-9126,10.1016/j.apergo.2021.103600,NA,MEDLINE:34628045,NA,NA,NA,APPLIED ERGONOMICS,"Activity space, office space: Measuring the spatial movement of office workers",APPL ERGON,Appl. Ergon.,APPL ERGON,APPL ERGON,1,publisher,ELSEVIER SCI LTD,1,ELSEVIER SCI LTD,APPLIED ERGONOMICS
